,cik_str,ticker,title
2668,1393726,TIPT,TIPTREE INC.
2669,1767258,XPEL,"XPEL, Inc."
2670,1069899,PAHC,PHIBRO ANIMAL HEALTH CORP
2671,1606163,LMB,"Limbach Holdings, Inc."
2672,1544206,CGBD,"Carlyle Secured Lending, Inc."
2673,700565,FMBH,"FIRST MID BANCSHARES, INC."
2674,890196,MQY,"BLACKROCK MUNIYIELD QUALITY FUND, INC."
2675,1690511,GOOS,Canada Goose Holdings Inc.
2676,1160990,PCN,PIMCO CORPORATE & INCOME STRATEGY FUND
2677,1793663,VTEX,VTEX
2678,1622229,COGT,"Cogent Biosciences, Inc."
2679,1604522,THQ,abrdn Healthcare Opportunities Fund
2680,1547459,NGVC,"Natural Grocers by Vitamin Cottage, Inc."
2681,1570562,EOLS,"Evolus, Inc."
2682,1120914,PDFS,PDF SOLUTIONS INC
2683,918965,SCSC,"SCANSOURCE, INC."
2684,1836981,BBAI,"BigBear.ai Holdings, Inc."
2685,1932244,AIUG,"AI Unlimited Group, Inc."
2686,1698991,ACEL,"Accel Entertainment, Inc."
2687,1950246,MTAL,MAC Copper Ltd
2688,1527590,RC,Ready Capital Corp
2689,1898496,GETY,"Getty Images Holdings, Inc."
2690,1180262,HLF,HERBALIFE LTD.
2691,930236,RWT,REDWOOD TRUST INC
2692,1604665,WLKP,Westlake Chemical Partners LP
2693,910612,CBL,CBL & ASSOCIATES PROPERTIES INC
2694,1821160,GHLD,Guild Holdings Co
2695,880117,JBSS,SANFILIPPO JOHN B & SON INC
2696,1430725,GSL,"Global Ship Lease, Inc."
2697,1219360,PHK,PIMCO HIGH INCOME FUND
2698,792987,ASTE,ASTEC INDUSTRIES INC
2699,1801169,OPEN,Opendoor Technologies Inc.
2700,1260041,HTD,JOHN HANCOCK TAX-ADVANTAGED DIVIDEND INCOME FUND
2701,102212,UVSP,UNIVEST FINANCIAL Corp
2702,1609151,WEAV,"Weave Communications, Inc."
2703,3197,CECO,CECO ENVIRONMENTAL CORP
2704,1559432,TXO,"TXO Partners, L.P."
2705,1913847,CNCK,Coincheck Group N.V.
2706,1871509,PTLO,Portillo's Inc.
2707,1499543,NOAH,Noah Holdings Ltd
2708,1833197,SWIM,"Latham Group, Inc."
2709,1158114,AAOI,"APPLIED OPTOELECTRONICS, INC."
2710,1012477,AVDL,AVADEL PHARMACEUTICALS PLC
2711,1222719,CHY,CALAMOS CONVERTIBLE & HIGH INCOME FUND
2712,1603145,XIFR,"XPLR Infrastructure, LP"
2713,1360214,HROW,"HARROW, INC."
2714,895419,WOLF,"WOLFSPEED, INC."
2715,1127703,PRA,PROASSURANCE CORP
2716,1046025,HFWA,HERITAGE FINANCIAL CORP /WA/
2717,1425292,UAN,"CVR PARTNERS, LP"
2718,731012,HCSG,HEALTHCARE SERVICES GROUP INC
2719,1828723,AMPS,"Altus Power, Inc."
2720,1766400,PNTG,"Pennant Group, Inc."
2721,1117480,CMRX,CHIMERIX INC
2722,1729173,UXIN,Uxin Ltd
2723,1823587,SKYH,Sky Harbour Group Corp
2724,1057379,HCKT,"HACKETT GROUP, INC."
2725,1879016,IE,Ivanhoe Electric Inc.
2726,1728688,IIIV,"i3 Verticals, Inc."
2727,1788399,DLY,DoubleLine Yield Opportunities Fund
2728,1278895,CII,"BlackRock Enhanced Large Cap Core Fund, Inc."
2729,1515816,PLYM,"Plymouth Industrial REIT, Inc."
2730,1569187,AHH,"Armada Hoffler Properties, Inc."
2731,790816,BDN,BRANDYWINE REALTY TRUST
2732,1758009,QUBT,Quantum Computing Inc.
2733,1472012,IMNM,Immunome Inc.
2734,1173514,HY,"HYSTER-YALE, INC."
2735,1300391,EOI,Eaton Vance Enhanced Equity Income Fund
2736,1705110,ANGI,Angi Inc.
2737,1708035,ECVT,Ecovyst Inc.
2738,1819516,UP,Wheels Up Experience Inc.
2739,1574197,FPH,"Five Point Holdings, LLC"
2740,1514705,SXC,"SunCoke Energy, Inc."
2741,932695,CYD,CHINA YUCHAI INTERNATIONAL LTD
2742,1452857,SPLP,STEEL PARTNERS HOLDINGS L.P.
2743,1754195,TCNNF,Trulieve Cannabis Corp.
2744,1314052,AVXL,ANAVEX LIFE SCIENCES CORP.
2745,805928,AXGN,"Axogen, Inc."
2746,1174164,FFC,Flaherty & Crumrine PREFERRED & INCOME SECURITIES FUND INC
2747,1559053,PRTA,PROTHENA CORP PUBLIC LTD CO
2748,1861107,CBLL,"Ceribell, Inc."
2749,21535,COHU,COHU INC
2750,1528129,VTLE,"Vital Energy, Inc."
2751,1518621,ORC,"Orchid Island Capital, Inc."
2752,1614178,YEXT,"Yext, Inc."
2753,1717547,BRSP,"BrightSpire Capital, Inc."
2754,1387467,AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd
2755,1794350,YALA,Yalla Group Ltd
2756,1811063,NUVB,Nuvation Bio Inc.
2757,1828791,DSP,Viant Technology Inc.
2758,1590560,QURE,uniQure N.V.
2759,1084961,ECPG,ENCORE CAPITAL GROUP INC
2760,1567924,MIESY,"Mitsui E&S Holdings Co., Ltd./ADR"
2761,1846576,FIGS,"FIGS, Inc."
2762,1579214,EEX,"Emerald Holding, Inc."
2763,1171471,CHI,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND
2764,1642122,AC,"Associated Capital Group, Inc."
2765,2036042,SION,"Sionna Therapeutics, Inc."
2766,1774170,AIOT,"Powerfleet, Inc."
2767,1689548,PRAX,"Praxis Precision Medicines, Inc."
2768,1979330,NBBK,"NB Bancorp, Inc."
2769,1631596,KREF,KKR Real Estate Finance Trust Inc.
2770,1851112,RSKD,RISKIFIED LTD.
2771,1879248,ADSE,Ads-Tec Energy Public Ltd Co
2772,1227476,JQC,Nuveen Credit Strategies Income Fund
2773,1964504,ARMN,Aris Mining Corp
2774,1872789,EMBC,Embecta Corp.
2775,1819559,WDI,Western Asset Diversified Income Fund (WDI)
2776,1868279,AVBP,"ArriVent BioPharma, Inc."
2777,1503290,ACP,abrdn Income Credit Strategies Fund
2778,1831907,MYTE,MYT Netherlands Parent B.V.
2779,880807,AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/
2780,1535778,MSIF,"MSC INCOME FUND, INC."
2781,1185348,PRAA,PRA GROUP INC
2782,1383082,DBA,INVESCO DB AGRICULTURE FUND
2783,1770450,XRX,Xerox Holdings Corp
2784,1639877,GSM,Ferroglobe PLC
2785,1337117,ITRN,Ituran Location & Control Ltd.
2786,1845022,BASE,"Couchbase, Inc."
2787,357173,OSBC,OLD SECOND BANCORP INC
2788,1175535,WSR,Whitestone REIT
2789,1490906,CFFN,"Capitol Federal Financial, Inc."
2790,1013488,BJRI,BJs RESTAURANTS INC
2791,1821159,EVGO,EVgo Inc.
2792,1838957,RERE,ATRenew Inc.
2793,1825155,TIXT,TELUS International (Cda) Inc.
2794,75252,OMI,OWENS & MINOR INC/VA/
2795,876523,EZPW,EZCORP INC
2796,883412,MYI,"BLACKROCK MUNIYIELD QUALITY FUND III, INC."
2797,775215,HBT,"HBT Financial, Inc."
2798,1034957,CRESY,CRESUD INC
2799,1928446,GRNT,"Granite Ridge Resources, Inc."
2800,1609804,OEC,Orion S.A.
2801,1268884,IGR,CBRE GLOBAL REAL ESTATE INCOME FUND
2802,1655099,RA,Brookfield Real Assets Income Fund Inc.
2803,799233,HTLD,HEARTLAND EXPRESS INC
2804,1814287,ABL,"Abacus Global Management, Inc."
2805,2023658,BCAX,Bicara Therapeutics Inc.
2806,1830043,BMBL,Bumble Inc.
2807,1778114,AIO,Virtus Artificial Intelligence & Technology Opportunities Fund
2808,701347,CPF,CENTRAL PACIFIC FINANCIAL CORP
2809,1683606,CARS,Cars.com Inc.
2810,1756770,CURLF,"Curaleaf Holdings, Inc."
2811,1481582,RYI,Ryerson Holding Corp
2812,1173489,CEVA,CEVA INC
2813,1883085,PGY,Pagaya Technologies Ltd.
2814,101199,UFCS,UNITED FIRE GROUP INC
2815,1656472,CRON,Cronos Group Inc.
2816,1842731,SMWB,SIMILARWEB LTD.
2817,1821534,EXOD,"Exodus Movement, Inc."
2818,1802974,AVO,"Mission Produce, Inc."
2819,1698514,NESR,National Energy Services Reunited Corp.
2820,1513363,FDUS,FIDUS INVESTMENT Corp
2821,1867096,XERS,"Xeris Biopharma Holdings, Inc."
2822,1042729,MBWM,MERCANTILE BANK CORP
2823,1624322,BFST,"Business First Bancshares, Inc."
2824,1703057,ABCL,AbCellera Biologics Inc.
2825,883618,NXP,NUVEEN SELECT TAX FREE INCOME PORTFOLIO
2826,859070,FCBC,FIRST COMMUNITY BANKSHARES INC /VA/
2827,1782430,STRW,"Strawberry Fields REIT, Inc."
2828,1506289,BCX,BlackRock Resources & Commodities Strategy Trust
2829,1546417,BLMN,"Bloomin' Brands, Inc."
2830,1713334,MSC,STUDIO CITY INTERNATIONAL HOLDINGS Ltd
2831,27996,DLX,DELUXE CORP
2832,821483,PARR,"PAR PACIFIC HOLDINGS, INC."
2833,1085913,FMCB,FARMERS & MERCHANTS BANCORP
2834,63296,MATW,MATTHEWS INTERNATIONAL CORP
2835,1853138,AACT,Ares Acquisition Corp II
2836,1304492,ATEX,Anterix Inc.
2837,1747068,MCBS,"MetroCity Bankshares, Inc."
2838,1886878,PAXS,PIMCO Access Income Fund
2839,1809691,HKD,AMTD Digital Inc.
2840,74046,ODC,Oil-Dri Corp of America
2841,926282,ADTN,"ADTRAN Holdings, Inc."
2842,1964954,ECO,Okeanis Eco Tankers Corp.
2843,750686,CAC,CAMDEN NATIONAL CORP
2844,1713930,NEXA,Nexa Resources S.A.
2845,1517396,SSYS,STRATASYS LTD.
2846,1922446,DEC,Diversified Energy Co PLC
2847,1680247,PUMP,ProPetro Holding Corp.
2848,1227500,EQBK,EQUITY BANCSHARES INC
2849,878518,TGB,TASEKO MINES LTD
2850,1690585,DNTH,"Dianthus Therapeutics, Inc. /DE/"
2851,1809122,CVAC,CureVac N.V.
2852,1958086,CLB,Core Laboratories Inc. /DE/
2853,1630472,TRTX,"TPG RE Finance Trust, Inc."
2854,876779,MGIC,MAGIC SOFTWARE ENTERPRISES LTD
2855,1921158,FUFU,Bitfufu Inc.
2856,1122904,NTGR,"NETGEAR, INC."
2857,1828105,HIPO,Hippo Holdings Inc.
2858,1308208,ULH,"UNIVERSAL LOGISTICS HOLDINGS, INC."
2859,1370755,TCPC,BlackRock TCP Capital Corp.
2860,1815776,LENZ,"LENZ Therapeutics, Inc."
2861,1855129,GHRS,GH Research PLC
2862,1708055,RBBN,Ribbon Communications Inc.
2863,1549346,SSTK,"Shutterstock, Inc."
2864,1296250,PFN,PIMCO Income Strategy Fund II
2865,108385,WRLD,WORLD ACCEPTANCE CORP
2866,1010000,RUPRF,RUPERT RESOURCES LTD
2867,896156,ETD,ETHAN ALLEN INTERIORS INC
2868,1761612,BCYC,BICYCLE THERAPEUTICS PLC
2869,724004,MLAB,MESA LABORATORIES INC /CO/
2870,706129,HBNC,HORIZON BANCORP INC /IN/
2871,1071255,GDEN,"GOLDEN ENTERTAINMENT, INC."
2872,877422,SPTN,SpartanNash Co
2873,41719,MAGN,Magnera Corp
2874,95029,RGR,STURM RUGER & CO INC
2875,354963,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/
2876,1123134,IMOS,CHIPMOS TECHNOLOGIES INC
2877,1661181,ORGO,Organogenesis Holdings Inc.
2878,99302,TRNS,TRANSCAT INC
2879,1606498,AVNS,"AVANOS MEDICAL, INC."
2880,1933414,MLYS,"Mineralys Therapeutics, Inc."
2881,894315,SITC,SITE Centers Corp.
2882,1137091,PSIX,"POWER SOLUTIONS INTERNATIONAL, INC."
2883,1625278,NRDS,"NERDWALLET, INC."
