,Unnamed: 0,cik_str,ticker,title
6958,9388,1582581,VJTTY,voxeljet AG
6959,9389,1777921,AVPTW,"AvePoint, Inc."
6960,9390,1994373,HNIT,Huineng Technology Corp
6961,9391,1414767,NCPLW,Netcapital Inc.
6962,9392,1825079,VLDXW,"Velo3D, Inc."
6963,9393,1687187,METCL,"Ramaco Resources, Inc."
6964,9394,1687187,METCB,"Ramaco Resources, Inc."
6965,9395,1687187,METCZ,"Ramaco Resources, Inc."
6966,9396,1767057,OBTC,Osprey Bitcoin Trust
6967,9397,1550453,TRLC,TriLinc Global Impact Fund LLC
6968,9398,1550453,TRIC,TriLinc Global Impact Fund LLC
6969,9399,1281895,RCKTW,"ROCKET PHARMACEUTICALS, INC."
6970,9400,1899287,AMPX-WT,"Amprius Technologies, Inc."
6971,9401,1160106,LLOBF,Lloyds Banking Group plc
6972,9402,1874315,SATLW,Satellogic Inc.
6973,9403,1533232,BEPH,Brookfield Renewable Partners L.P.
6974,9404,1533232,BEPI,Brookfield Renewable Partners L.P.
6975,9405,1533232,BEP-PA,Brookfield Renewable Partners L.P.
6976,9406,1533232,BRENF,Brookfield Renewable Partners L.P.
6977,9407,1533232,BEPJ,Brookfield Renewable Partners L.P.
6978,9408,831609,CWLXF,C21 Investments Inc.
6979,9409,1835856,BETRW,Better Home & Finance Holding Co
6980,9410,1871983,ANGHW,Anghami Inc
6981,9411,2020987,YHNAR,YHN Acquisition I Ltd
6982,9412,2020987,YHNAU,YHN Acquisition I Ltd
6983,9413,1913510,VFSWW,VinFast Auto Ltd.
6984,9414,1845437,NPWR-WT,NET Power Inc.
6985,9415,1862150,CINGW,Cingulate Inc.
6986,9416,320335,GL-PD,GLOBE LIFE INC.
6987,9417,1852019,IXQUF,IX Acquisition Corp.
6988,9418,1852019,IXQWF,IX Acquisition Corp.
6989,9419,1837671,CPPTL,Copper Property CTL Pass Through Trust
6990,9420,1628171,RVMDW,"Revolution Medicines, Inc."
